gene	AD.Ex.betweenness	AD.Ex.degree_in	AD.Ex.degree_out	Ctrl.Ex.betweenness	Ctrl.Ex.degree_in	Ctrl.Ex.degree_out	AD.In.betweenness	AD.In.degree_in	AD.In.degree_out	Ctrl.In.betweenness	Ctrl.In.degree_in	Ctrl.In.degree_out	AD.Mic.betweenness	AD.Mic.degree_in	AD.Mic.degree_out	Ctrl.Mic.betweenness	Ctrl.Mic.degree_in	Ctrl.Mic.degree_out	AD.Oli.betweenness	AD.Oli.degree_in	AD.Oli.degree_out	Ctrl.Oli.betweenness	Ctrl.Oli.degree_in	Ctrl.Oli.degree_out
P2RX4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	53	0	0	48	0	NA	NA	NA	NA	NA	NA
P2RX7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	54	0	0	59	0	0	60	0
P2RY11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	44	0	0	41	0	NA	NA	NA	NA	NA	NA
P3H1	NA	NA	NA	NA	NA	NA	0	50	0	0	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P3H2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	51	0	0	49	0	NA	NA	NA	NA	NA	NA
PAAF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	0	73	0
PABPC1	NA	NA	NA	NA	NA	NA	0	88	0	0	91	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PACS1	0	55	0	0	66	0	NA	NA	NA	NA	NA	NA	0	52	0	0	54	0	NA	NA	NA	NA	NA	NA
PACSIN1	0	90	0	0	89	0	0	82	0	0	80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PADI2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	0	0	39	0	NA	NA	NA	NA	NA	NA
PAFAH1B2	0	64	0	0	68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAFAH2	0	51	0	0	48	0	NA	NA	NA	NA	NA	NA	0	23	0	0	38	0	NA	NA	NA	NA	NA	NA
PAK1	0	72	0	0	63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PALD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	44	0	NA	NA	NA	NA	NA	NA
PALLD	0	98	0	0	94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PANK2	0	53	0	0	55	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAPLN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	39	0	NA	NA	NA	NA	NA	NA
PARL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	60	0	NA	NA	NA	NA	NA	NA
PARM1	0	48	0	0	48	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP11	NA	NA	NA	NA	NA	NA	0	55	0	0	54	0	0	32	0	0	41	0	NA	NA	NA	NA	NA	NA
PARP2	0	65	0	0	65	0	NA	NA	NA	NA	NA	NA	0	40	0	0	43	0	NA	NA	NA	NA	NA	NA
PARVA	0	63	0	0	63	0	0	62	0	0	63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PATZ1	0	53	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PAX3	0	0	20	0	0	21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	32	0	0	23
PAX5	0	0	1012	0	0	1030	0	0	1116	0	0	1265	NA	NA	NA	NA	NA	NA	0	0	729	0	0	691
PAX7	0	0	42	0	0	40	0	0	45	0	0	45	NA	NA	NA	NA	NA	NA	0	0	33	0	0	26
PAXBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	53	0	0	53	0	NA	NA	NA	NA	NA	NA
PBX1	13414.88546559	91	132	10933.7470078773	88	136	7346.89420568447	83	138	7001.91543079689	84	146	0	0	93	0	0	114	9104.93275580199	92	103	9708.3173134528	90	90
PBX2	0	0	185	0	0	179	0	0	209	0	0	201	0	0	115	0	0	117	0	0	115	0	0	113
PBX3	0	0	1150	0	0	1135	0	0	1263	0	0	1276	0	0	966	0	0	972	28228.9934361301	87	663	29527.6656160898	83	710
PCBP1	NA	NA	NA	NA	NA	NA	0	57	0	0	59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCBP2	NA	NA	NA	NA	NA	NA	0	74	0	0	82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDH1	NA	NA	NA	NA	NA	NA	0	66	0	0	67	0	NA	NA	NA	NA	NA	NA	0	60	0	0	60	0
PCDH12	NA	NA	NA	NA	NA	NA	0	35	0	0	40	0	NA	NA	NA	NA	NA	NA	0	20	0	0	28	0
PCDH7	0	136	0	0	137	0	0	64	0	0	67	0	NA	NA	NA	NA	NA	NA	0	51	0	0	51	0
PCDH8	0	54	0	0	55	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCDH9	0	104	0	0	109	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82	0	0	82	0
PCF11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	53	0	0	53	0
PCM1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	76	0	0	72	0
PCNA	NA	NA	NA	NA	NA	NA	0	46	0	0	54	0	0	56	0	0	50	0	0	68	0	0	87	0
PCP4L1	NA	NA	NA	NA	NA	NA	0	63	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCSK2	0	111	0	0	111	0	0	86	0	0	93	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PCSK5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	52	0	0	54	0	NA	NA	NA	NA	NA	NA
PCSK7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	62	0	0	61	0
PDCD10	NA	NA	NA	NA	NA	NA	0	58	0	0	59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDCD1LG2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	0	46	0	NA	NA	NA	NA	NA	NA
PDCD4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	70	0	0	74	0
PDCL	NA	NA	NA	NA	NA	NA	0	70	0	0	72	0	NA	NA	NA	NA	NA	NA	0	47	0	0	46	0
PDCL3	NA	NA	NA	NA	NA	NA	0	39	0	0	44	0	NA	NA	NA	0	32	0	NA	NA	NA	NA	NA	NA
PDE10A	NA	NA	NA	NA	NA	NA	0	88	0	0	94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE1A	0	82	0	0	84	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE1C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	86	0	0	83	0
PDE2A	0	95	0	0	102	0	0	80	0	0	87	0	0	70	0	0	68	0	NA	NA	NA	NA	NA	NA
PDE3B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	66	0	0	69	0	NA	NA	NA	NA	NA	NA
PDE4B	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	0	74	0	0	109	0	0	109	0
PDE4D	0	86	0	0	93	0	0	84	0	0	88	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE6D	0	70	0	0	77	0	0	65	0	0	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDE9A	NA	NA	NA	NA	NA	NA	0	71	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDGFC	NA	NA	NA	NA	NA	NA	0	51	0	0	53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PDGFRL	NA	NA	NA	NA	NA	NA	0	45	0	0	50	0	NA	NA	NA	NA	NA	NA	0	32	0	0	30	0
