gene	AD.Ex.betweenness	AD.Ex.degree_in	AD.Ex.degree_out	Ctrl.Ex.betweenness	Ctrl.Ex.degree_in	Ctrl.Ex.degree_out	AD.In.betweenness	AD.In.degree_in	AD.In.degree_out	Ctrl.In.betweenness	Ctrl.In.degree_in	Ctrl.In.degree_out	AD.Mic.betweenness	AD.Mic.degree_in	AD.Mic.degree_out	Ctrl.Mic.betweenness	Ctrl.Mic.degree_in	Ctrl.Mic.degree_out	AD.Oli.betweenness	AD.Oli.degree_in	AD.Oli.degree_out	Ctrl.Oli.betweenness	Ctrl.Oli.degree_in	Ctrl.Oli.degree_out
DCP2	NA	NA	NA	NA	NA	NA	0	57	0	0	60	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCTN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
DCTN4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	45	0	NA	NA	NA	NA	NA	NA
DCTN6	NA	NA	NA	NA	NA	NA	0	60	0	0	62	0	0	53	0	0	54	0	NA	NA	NA	NA	NA	NA
DCXR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	0	39	0	NA	NA	NA	NA	NA	NA
DDA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49	0	0	57	0	NA	NA	NA	NA	NA	NA
DDIT4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	60	0	0	69	0	NA	NA	NA	NA	NA	NA
DDRGK1	0	64	0	0	67	0	0	53	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX17	0	78	0	0	78	0	0	64	0	0	64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX20	0	63	0	0	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX23	0	59	0	0	61	0	0	55	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	28	0	0	24	0
DDX49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	0	52	0	NA	NA	NA	NA	NA	NA
DDX50	NA	NA	NA	NA	NA	NA	0	79	0	0	82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	68	0	0	57	0	NA	NA	NA	NA	NA	NA
DDX54	NA	NA	NA	NA	NA	NA	0	56	0	0	63	0	NA	NA	NA	NA	NA	NA	0	50	0	0	42	0
DDX55	0	69	0	0	72	0	0	64	0	0	67	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DDX56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	65	0	0	44	0	NA	NA	NA	NA	NA	NA
DDX60L	0	44	0	0	46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	39	0	0	20	0	NA	NA	NA	NA	NA	NA
DEK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	41	0	0	40	0	NA	NA	NA	NA	NA	NA
DENND1C	0	34	0	0	33	0	0	43	0	0	53	0	0	74	0	0	61	0	NA	NA	NA	NA	NA	NA
DENND3	0	86	0	0	91	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND4A	0	69	0	0	66	0	0	70	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND4C	0	81	0	0	87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DENND5A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	122	0	0	116	0
DEPDC1	0	52	0	0	44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEPDC5	0	78	0	0	89	0	0	85	0	0	80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEPTOR	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	61	0	0	60	0
DERL2	0	55	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DEXI	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	37	0	0	38	0	NA	NA	NA	NA	NA	NA
DFFB	0	57	0	0	49	0	0	51	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGCR6L	NA	NA	NA	NA	NA	NA	0	45	0	0	51	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKG	0	79	0	0	80	0	0	80	0	0	82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKI	0	77	0	0	76	0	0	86	0	0	99	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DGKZ	0	87	0	0	89	0	NA	NA	NA	NA	NA	NA	0	52	0	0	60	0	NA	NA	NA	NA	NA	NA
DGUOK	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	0	0	48	0
DHRS3	0	55	0	0	54	0	0	55	0	0	56	0	0	77	0	0	81	0	NA	NA	NA	NA	NA	NA
DHX15	0	86	0	0	86	0	0	71	0	0	86	0	0	68	0	0	73	0	0	81	0	0	84	0
DHX30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	78	0	0	80	0
DIMT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	0	0	51	0
DIO1	0	61	0	0	58	0	0	41	0	0	56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DIP2B	NA	NA	NA	NA	NA	NA	0	86	0	0	87	0	0	50	0	0	57	0	0	111	0	0	103	0
DIP2C	0	78	0	0	87	0	0	92	0	0	92	0	NA	NA	NA	NA	NA	NA	0	134	0	0	134	0
DIRAS1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	0	0	39	0
DIRAS2	0	63	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DISC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	38	0	0	40	0	NA	NA	NA	NA	NA	NA
DISP1	NA	NA	NA	NA	NA	NA	0	47	0	0	53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DIXDC1	0	97	0	0	101	0	0	79	0	0	99	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DKK3	0	97	0	0	96	0	0	85	0	0	85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLG2	NA	NA	NA	NA	NA	NA	0	128	0	0	134	0	0	75	0	0	64	0	0	168	0	0	168	0
DLG4	0	85	0	0	99	0	0	89	0	0	87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLGAP1	0	190	0	0	197	0	0	142	0	0	153	0	0	81	0	0	76	0	NA	NA	NA	NA	NA	NA
DLGAP3	NA	NA	NA	NA	NA	NA	0	47	0	0	48	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLGAP4	0	107	0	0	107	0	0	103	0	0	102	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLX1	0	27	0	0	41	0	0	62	0	0	64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLX2	0	15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DLX6	0	0	14	0	0	26	0	0	25	0	0	28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMC1	0	50	0	0	56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMRT3	0	0	54	0	0	55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DMXL1	0	69	0	0	81	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAH14	0	78	0	0	83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAH2	0	71	0	0	69	0	0	70	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAH7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	59	0	NA	NA	NA	NA	NA	NA
DNAJA1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	74	0	0	75	0	NA	NA	NA	NA	NA	NA
DNAJB12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	52	0	0	54	0	NA	NA	NA	NA	NA	NA
DNAJB5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	0	46	0
DNAJC1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	79	0	0	80	0
DNAJC16	NA	NA	NA	NA	NA	NA	0	73	0	0	77	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAJC21	0	72	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	68	0	0	77	0
DNAJC22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	58	0	0	50	0
DNAJC27	0	85	0	0	90	0	0	76	0	0	81	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNAJC6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	82	0	0	80	0
DNASE2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	43	0	0	38	0	NA	NA	NA	NA	NA	NA
DNER	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	17	0	0	70	0	NA	NA	NA	NA	NA	NA
DNM1	NA	NA	NA	NA	NA	NA	0	70	0	0	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DNM2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	90	0	0	95	0	NA	NA	NA	NA	NA	NA
DNM3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	79	0	0	81	0
DNMT3A	NA	NA	NA	NA	NA	NA	0	57	0	0	61	0	0	61	0	0	62	0	NA	NA	NA	NA	NA	NA
DNTTIP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	46	0	NA	NA	NA	NA	NA	NA
DOCK3	NA	NA	NA	NA	NA	NA	0	63	0	0	66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOCK4	0	86	0	0	92	0	0	94	0	0	93	0	NA	NA	NA	NA	NA	NA	0	99	0	0	99	0
DOCK5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	84	0	0	84	0
DOCK8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	0	63	0	NA	NA	NA	NA	NA	NA
DOCK9	NA	NA	NA	NA	NA	NA	0	84	0	0	96	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOK1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	0	0	58	0	NA	NA	NA	NA	NA	NA
DOK5	NA	NA	NA	NA	NA	NA	0	82	0	0	84	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOLPP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
DONSON	NA	NA	NA	NA	NA	NA	0	66	0	0	65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DOT1L	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	62	0	0	66	0	NA	NA	NA	NA	NA	NA
DPAGT1	NA	NA	NA	NA	NA	NA	0	52	0	0	51	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPCD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	29	0	0	41	0
DPEP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	60	0	0	39	0	NA	NA	NA	NA	NA	NA
DPF1	0	87	0	0	99	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	47	0	0	50	0	0	64	0	0	61	0
DPF3	NA	NA	NA	NA	NA	NA	0	79	0	0	82	0	NA	NA	NA	NA	NA	NA	0	93	0	0	89	0
DPH1	NA	NA	NA	NA	NA	NA	0	82	0	0	101	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPP10	NA	NA	NA	0	94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPP9	0	73	0	0	74	0	0	69	0	0	61	0	0	57	0	0	53	0	NA	NA	NA	NA	NA	NA
DPT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	30	0
DPY19L1	0	113	0	0	123	0	0	71	0	0	72	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DPYSL2	0	81	0	0	86	0	0	88	0	0	102	0	0	55	0	0	41	0	0	90	0	0	93	0
DPYSL3	0	80	0	0	81	0	0	72	0	0	75	0	NA	NA	NA	NA	NA	NA	0	45	0	0	38	0
DPYSL5	0	106	0	0	109	0	0	73	0	0	77	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DRC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	64	0	0	60	0
DRD1	0	85	0	0	88	0	0	98	0	0	95	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DSCAM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	54	0	0	53	0	0	47	0	0	45	0
DSCAML1	0	118	0	0	119	0	0	93	0	0	99	0	NA	NA	NA	NA	NA	NA	0	93	0	0	91	0
DSCC1	0	33	0	0	31	0	0	27	0	0	35	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DST	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	151	0	0	140	0
DSTYK	0	62	0	0	64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DTHD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	84	0	0	94	0
DTNA	0	101	0	0	106	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	85	0	0	81	0
DTNBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	80	0	0	82	0
DTX1	NA	NA	NA	NA	NA	NA	0	58	0	0	58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUS4L	NA	NA	NA	NA	NA	NA	0	78	0	0	87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP1	NA	NA	NA	NA	NA	NA	0	58	0	0	66	0	0	42	0	0	55	0	0	55	0	0	49	0
DUSP10	0	27	0	0	43	0	0	65	0	0	71	0	NA	NA	NA	NA	NA	NA	0	72	0	0	76	0
DUSP12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	40	0	0	43	0	NA	NA	NA	NA	NA	NA
DUSP16	0	85	0	0	97	0	0	80	0	0	89	0	NA	NA	NA	NA	NA	NA	0	70	0	0	62	0
DUSP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	39	0	0	35	0	NA	NA	NA	NA	NA	NA
DUSP23	0	59	0	0	60	0	0	55	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP4	0	61	0	0	63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUSP5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	30	0	NA	NA	NA	NA	NA	NA
DUSP6	0	84	0	0	95	0	0	42	0	0	49	0	0	53	0	0	56	0	NA	NA	NA	NA	NA	NA
DUSP7	0	59	0	0	53	0	0	62	0	0	64	0	NA	NA	NA	NA	NA	NA	0	101	0	0	93	0
DUSP8	0	60	0	0	60	0	0	54	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DUXA	0	0	119	0	0	142	0	0	144	0	0	162	NA	NA	NA	NA	NA	NA	0	0	77	0	0	81
DVL2	0	62	0	0	69	0	0	63	0	0	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYNC1H1	NA	NA	NA	NA	NA	NA	0	79	0	0	82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYNC1LI1	NA	NA	NA	NA	NA	NA	0	71	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYNLT1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	49	0	0	50	0	NA	NA	NA	NA	NA	NA
DYRK1A	0	77	0	0	80	0	0	81	0	0	86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DYRK2	0	93	0	0	100	0	0	40	0	0	38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
DZIP1	0	76	0	0	79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E2F1	0	0	119	0	0	119	0	0	113	0	0	113	NA	NA	NA	NA	NA	NA	0	0	63	0	0	62
E2F2	0	0	425	0	0	492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E2F3	0	0	723	0	0	731	0	0	814	0	0	809	3733.17846190884	57	636	4081.19872797596	57	610	0	0	455	0	0	471
E2F4	0	0	99	0	0	97	0	0	113	0	0	111	0	0	66	0	0	66	0	0	64	0	0	67
E2F6	6594.88803933578	66	249	4391.34872199648	72	246	5758.16841713174	63	282	6962.41527801702	67	268	0	0	166	0	0	131	0	0	142	0	0	145
E2F7	2932.35356026808	20	688	3589.5531159372	22	787	NA	NA	NA	0	0	1053	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E2F8	0	0	303	0	0	424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
E4F1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	56	0	0	55	0	NA	NA	NA	NA	NA	NA
EAF1	NA	NA	NA	NA	NA	NA	0	52	0	0	55	0	NA	NA	NA	NA	NA	NA	0	72	0	0	60	0
EBF1	0	0	635	0	0	640	0	0	766	0	0	783	0	0	538	NA	NA	NA	0	0	457	0	0	414
EBNA1BP2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	50	0	0	54	0	NA	NA	NA	NA	NA	NA
ECE1	0	85	0	0	95	0	0	85	0	0	95	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ECHDC3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	66	0	0	74	0	NA	NA	NA	NA	NA	NA
EDEM2	0	91	0	0	88	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EDIL3	NA	NA	NA	NA	NA	NA	0	63	0	0	65	0	NA	NA	NA	NA	NA	NA	0	87	0	0	86	0
EDRF1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	100	0	0	102	0
EEF1B2	0	72	0	0	80	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEF2	0	59	0	0	61	0	0	51	0	0	52	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EEPD1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	38	0	NA	NA	NA	NA	NA	NA
EFCAB11	0	60	0	0	62	0	0	58	0	0	56	0	0	69	0	0	72	0	NA	NA	NA	NA	NA	NA
EFCAB13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	73	0	0	63	0	NA	NA	NA	NA	NA	NA
EFCAB5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	79	0	0	74	0
EFCAB6	0	72	0	0	70	0	0	71	0	0	74	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFHB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	59	0	0	49	0	0	65	0
EFHD2	NA	NA	NA	NA	NA	NA	0	70	0	0	71	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EFR3B	0	73	0	0	75	0	0	68	0	0	72	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGFR	0	68	0	0	68	0	0	66	0	0	70	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGLN1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	55	0	0	54	0	NA	NA	NA	NA	NA	NA
EGR1	12055.4310340759	56	1148	10256.6202777587	63	1128	7989.6184904681	45	1272	8861.66165667193	52	1276	0	0	860	NA	NA	NA	0	0	740	0	0	742
EGR2	0	0	100	0	0	105	NA	NA	NA	2180.51627564866	39	102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR3	37051.157790339	92	916	36226.5349134316	94	899	21111.24963899	61	1002	31408.6557240963	90	1054	0	0	665	0	0	673	0	0	592	0	0	620
EGR4	0	0	693	0	0	685	NA	NA	NA	0	0	770	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	432
EHBP1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	72	0	0	74	0
EHD2	NA	NA	NA	NA	NA	NA	0	45	0	0	50	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHF	0	0	359	0	0	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	256	0	0	243
EHHADH	0	56	0	0	54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EI24	0	90	0	0	86	0	0	83	0	0	86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EID1	NA	NA	NA	NA	NA	NA	0	55	0	0	60	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF1AD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF1B	0	45	0	0	46	0	0	58	0	0	68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2AK1	NA	NA	NA	NA	NA	NA	0	73	0	0	75	0	0	52	0	0	50	0	NA	NA	NA	NA	NA	NA
EIF2B1	0	65	0	0	65	0	0	60	0	0	63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF2B2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	0	0	45	0	NA	NA	NA	NA	NA	NA
EIF2S1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	42	0	0	50	0
EIF2S2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	47	0	NA	NA	NA	NA	NA	NA
EIF3I	NA	NA	NA	NA	NA	NA	0	57	0	0	59	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EIF4A3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	45	0	0	50	0	NA	NA	NA	NA	NA	NA
EIF4E1B	0	64	0	0	68	0	0	60	0	0	61	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELAC2	NA	NA	NA	NA	NA	NA	0	72	0	0	73	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELAVL2	0	112	0	0	111	0	0	71	0	0	76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELF1	0	0	562	0	0	547	0	0	603	0	0	621	0	0	461	0	0	456	0	0	317	0	0	316
ELF2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	66	0	0	71	0	NA	NA	NA	NA	NA	NA
ELF3	0	0	294	0	0	398	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	317.86452199761	8	205
ELF4	0	0	209	0	0	225	0	0	215	0	0	227	0	0	232	0	0	214	0	0	155	0	0	155
ELF5	0	0	37	0	0	64	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	38	NA	NA	NA
ELK1	0	0	66	0	0	66	0	0	77	0	0	79	0	0	51	0	0	52	0	0	47	0	0	52
ELK3	0	0	33	0	0	36	0	0	37	0	0	40	47.8246525999804	45	17	85.1710968769242	42	18	0	0	16	0	0	14
ELK4	3385.31218453353	66	101	2535.39270088984	66	106	0	0	89	0	0	89	0	0	55	0	0	59	1013.61267309253	74	48	1222.36622280798	72	52
ELL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	57	0	0	60	0	NA	NA	NA	NA	NA	NA
ELL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	46	0	0	48	0	NA	NA	NA	NA	NA	NA
ELMO1	0	81	0	0	84	0	0	98	0	0	99	0	0	60	0	0	59	0	0	156	0	0	135	0
ELMO2	NA	NA	NA	NA	NA	NA	0	80	0	0	82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ELOVL1	NA	NA	NA	NA	NA	NA	0	57	0	0	63	0	NA	NA	NA	NA	NA	NA	0	58	0	0	58	0
ELOVL5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	63	0	0	65	0
